epoch,train_loss,val_loss,val_mae,val_rmse
1,0.34094901987835907,0.4041697521548342,0.44133767017579545,0.5967578390488116
2,0.31449511654374696,0.35853936899324723,0.39782017071700815,0.551965824736978
3,0.30599351467532526,0.3981939454916029,0.4268639368308611,0.5831779794832638
4,0.3014946346834388,0.3596954821446913,0.39773760195377944,0.5498810210559941
5,0.2963544907273578,0.3671768002501375,0.41052954479160036,0.5618561653972209
6,0.29417760966206236,0.3823794904849325,0.43404591111660107,0.5796229581136199
7,0.2813393108532433,0.3448836295658671,0.38929267287433367,0.5408630048645537
8,0.2756616284144817,0.34276689891138956,0.3944364763065818,0.5410486376354607
9,0.2725526742537054,0.33842344384187284,0.3821777958096007,0.5325056418945953
10,0.2691331717852439,0.34956672690158186,0.3969518498746757,0.5448578759161502
11,0.2663164833085093,0.33706972839315164,0.3817451832517486,0.5337207104305013
12,0.2652042744513208,0.3478650085162871,0.3991252798247404,0.5468660740733684
13,0.2618134230832907,0.34079397278419254,0.38886656052844765,0.5404886455143043
14,0.2599698861992977,0.35754789731400743,0.4000053921563767,0.5501326824738422
15,0.2572469284146624,0.36277030342204764,0.41492904799098596,0.5602590850790384
16,0.25008965852793713,0.341767470076012,0.38719116091549177,0.5374392017968298
17,0.24743318481946402,0.33984336782565727,0.38802872367668395,0.5371465307273365
