epoch,train_loss,val_loss,val_mae,val_rmse
1,0.20574651511540956,0.562793298399683,0.5788373268451444,0.7069634118519118
2,0.14154521298074169,0.5598734934603404,0.5775858842256085,0.6974317571799212
3,0.1281774307257087,0.6205509881632437,0.6160935015733413,0.7399643073117563
4,0.1207736786418888,0.5569988331679332,0.5805099370845759,0.6988811653896954
5,0.11474329283608689,0.5587230110783243,0.5758545312695955,0.6974925542141996
