epoch,train_loss,val_loss,val_mae,val_rmse
1,0.46327074906018323,0.7451456884180776,0.601356991036617,0.775321134500968
2,0.34915645251089916,0.6970826345972431,0.5693586006156367,0.7423224533046681
3,0.31765135228204866,0.6944265333886465,0.5689111066667646,0.7422708666035608
4,0.2962878882141351,0.7075258298535072,0.5827521930767011,0.7581108013618353
5,0.2820147507092889,0.7067433199230834,0.5790481392699387,0.753904108273781
6,0.268387241378398,0.6804293656753282,0.5639364733201857,0.7389225293781286
7,0.25945294870782265,0.6599504424123595,0.5519187509745034,0.7223711870586736
8,0.24966254231167848,0.6861750093608219,0.5758872376161439,0.7399224520138828
9,0.23960265195472685,0.675304883540738,0.5653785248218087,0.7343805150856815
10,0.23205740531395241,0.6440645902102098,0.5498728115551974,0.7181406252324338
11,0.2185368639329402,0.6671673652568719,0.5640740399195948,0.7316345314027106
12,0.20593645647811684,0.6450907139275827,0.5647577129446675,0.7248444767423874
13,0.20101120681171225,0.6183795650177722,0.5518429319737321,0.7153676534972716
14,0.1929862842521489,0.6007413896105622,0.5455895097847533,0.705564097078336
15,0.1884256141178038,0.6118208820843896,0.5590425330000204,0.7200484407278018
16,0.21092510850824803,0.5853117460397353,0.5398549061684976,0.6955010388394176
17,0.1680975242012007,0.5207782521623318,0.5089584586191167,0.6549084198063112
18,0.15984843273051869,0.5228201559852873,0.5150550459362718,0.6588474839471794
19,0.15751650282351617,0.5024901606498985,0.49863179301376687,0.6387085269075994
20,0.14603384655691154,0.4894611122679286,0.4932323622360835,0.6319918382886499
