epoch,train_loss,val_loss,val_mae,val_rmse
1,0.18631403863201215,0.30802996565000973,0.40164308242597335,0.5194423891679076
2,0.10671877137415697,0.2886967701452583,0.3806943812229121,0.4987162053393233
3,0.08725786269526221,0.30109856799292833,0.3936193896398808,0.5164342300238668
4,0.07547679041903788,0.28959034602290645,0.3831327212033316,0.500704640151349
5,0.06807788458944168,0.2767937122253716,0.3732697055130602,0.48632904707528674
6,0.062470694505135864,0.3041504505774771,0.3929567053015717,0.5122843769404336
7,0.058650355793235395,0.2886393622788358,0.3816888338121522,0.49653565833763463
8,0.05474835759182523,0.2858868797138458,0.3764883441695889,0.49271314653350773
9,0.05253988624176801,0.2917906212284953,0.3852813909990392,0.5018194031239681
10,0.0443169698530304,0.27468251971005625,0.3719196028909927,0.4846567972308447
11,0.042513108819422815,0.2790196079459474,0.3753495289900354,0.48879256338757066
12,0.041405629420263296,0.27453397992239875,0.37097441199971126,0.4837050619516166
13,0.04037515654080259,0.2805956100680955,0.3716967893986967,0.48737742621559516
14,0.0395774891074468,0.27685166765272146,0.37079138224842567,0.4836730841428163
15,0.038445325781038875,0.28623754646716215,0.3768835355989464,0.49056207237262067
16,0.037814013638503265,0.27494456338488577,0.36841375486095224,0.4816934857929093
17,0.03496804004338447,0.274678705716128,0.36944009672800016,0.4824626285920862
18,0.03416734352536256,0.2744061357919762,0.3695305856070634,0.48329022850915615
19,0.03378873184455591,0.27716867164387976,0.36906363949502546,0.48228775788673234
20,0.03333188415345899,0.280445958969036,0.37489182571565816,0.4881403132636924
