epoch,train_loss,val_loss,val_mae,val_rmse
1,0.4332954783471669,0.4557603525644821,0.5002437822042783,0.6218490414393355
2,0.22877380520019558,0.4781483635578102,0.5246345968467436,0.6401766554477055
3,0.17346403290894805,0.4096690032441737,0.48056990469609484,0.5950706792578526
4,0.14460330233406885,0.42377518643332357,0.4823949694556756,0.5975786696634331
5,0.12770688657482618,0.41594625854410344,0.4792067340401922,0.591373967653793
6,0.1153674574100525,0.40718331026995136,0.47046760071809907,0.5860293772925995
7,0.10607739638415614,0.4469276135429705,0.5007137901101136,0.6103681723362027
8,0.09998966548985116,0.3925826844931723,0.4619308063795167,0.5710581451801495
9,0.09574309844101803,0.40260860564958845,0.4782685894639777,0.5839474829858118
10,0.09065262403789615,0.3899528190982723,0.46416663026328864,0.5738187592010645
11,0.0879688416169724,0.4306921754827624,0.4922275099726712,0.5981733305877279
12,0.08460408078431511,0.4067813381568681,0.47174025180385337,0.5777848649244917
13,0.0828735819604827,0.38263230763952816,0.45387607274508684,0.5615969118297522
14,0.08048282433193957,0.41883901750752406,0.4723901002608101,0.5805968846202638
15,0.07862754256219644,0.375931371833807,0.4481697434955491,0.554913131854637
16,0.07742923667615069,0.40945393587483586,0.4661882650286976,0.5744807827603123
17,0.07520563038148258,0.40497838467442665,0.46309258855481283,0.5708952584099908
18,0.07376228840646268,0.3929539500733502,0.46031621169491505,0.5656920498825659
19,0.07305775956749458,0.3857535586365301,0.4573077098721216,0.5635935838220969
20,0.06578682252204121,0.39118117457217755,0.45531388391524624,0.560485955728172
