model,loss,mae,rmse,lr,weight_decay,model_dir
lstm,2.676263618034054,1.19501249104259,1.4353007022736644,0.001,0.0,D:\degree_code\scheme_1\TPLC_Net\results\compare_tplc_vs_lstm_AICU_20251218_121126\lstm
tplcnet,2169.6079964333644,6.1466289680452775,7.604668360800911,0.0018124282861022153,0.00031782679481783595,D:\degree_code\scheme_1\TPLC_Net\results\compare_tplc_vs_lstm_AICU_20251218_121126\tplcnet
