epoch,train_loss,val_loss,val_mae,val_rmse
1,0.2212955076712221,0.5060970415068501,0.5425429294559992,0.6551401568211038
2,0.14829545453076398,0.41410741373030213,0.4848762396655096,0.6001271353313222
3,0.13401002153010605,0.4534463670805682,0.5103359722293157,0.6329108270113367
4,0.12497089795711058,0.4040442450929931,0.4863922219244714,0.6066248398102345
5,0.11973514449344716,0.46335034886032594,0.5234859313890162,0.6504962240593343
6,0.11613808759629383,0.40959218083674037,0.4939847412193264,0.61042188982983
7,0.11292912780652234,0.3880371206424646,0.47653232625154335,0.5916787808070851
8,0.11048245097147641,0.41290020346130024,0.4949762608661746,0.612433834013011
9,0.10835737097586529,0.38972081645853246,0.47835049362454746,0.5949406062960753
10,0.10733450666041383,0.37629523308741075,0.4757085474065332,0.5890848550692159
11,0.10579686458160004,0.3716442501422188,0.472741118241625,0.5829270322469651
12,0.10446897420081204,0.39298977792531575,0.48651468976325063,0.6017547640082305
13,0.10357969008286032,0.38052565610682443,0.4734347416105968,0.5864323409834892
14,0.10295686871170884,0.35378946380230575,0.45755589932900237,0.5696498328870623
15,0.10188401318485929,0.3582720040916962,0.466500051746397,0.5743688343932408
16,0.10128488403435747,0.3643127950929414,0.46253472945128,0.5764653376693046
17,0.10052115407248605,0.35677349734935504,0.45451459019410717,0.5668134674880669
18,0.10024400973860567,0.34082644587037797,0.4460466692591399,0.5578544179376833
19,0.09974985164295232,0.36013265769002367,0.46452347155140084,0.575150110068891
20,0.0991227590262661,0.3415261246895386,0.45196343182468846,0.5595814063233947
